model,params,license,mean_cer,median_cer,pages_per_sec,normal,handwriting,poor,rotated,tables,mixed
qwen38-27b,27B (FP8),UNVERIFIED — confirm before any deployment decision,0.1059,0.0224,0.264,0.0223,0.0460,0.0250,0.0338,0.0713,0.4923
medmix-7b-new,?,?,0.1414,0.0821,0.687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
medreal-qwen38-27b,?,?,0.1448,0.0799,0.041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
medreal-qwen25vl7b-base,?,?,0.1635,0.0957,0.952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
medreal-student7b-oldonly,?,?,0.1732,0.1194,0.919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
medreal-qwen25vl7b,?,?,0.1782,0.1134,0.573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
y-hires2400,?,?,0.1793,0.0355,0.582,0.0225,0.1352,0.0299,0.1828,0.0555,0.7284
y-hires800-s1,?,?,0.1800,0.0345,0.560,0.0182,0.0787,0.0312,0.1911,0.0526,0.7963
x-7b-hires,?,?,0.1820,0.0421,0.549,0.0242,0.1088,0.0298,0.1519,0.0607,0.8058
y-hires4400-filter,?,?,0.1823,0.0373,0.581,0.0192,0.1033,0.0311,0.1938,0.0549,0.7768
y-hires800-s2,?,?,0.1879,0.0348,0.548,0.0208,0.0983,0.0279,0.2173,0.0579,0.7917
y-hires800-s0,?,?,0.1960,0.0336,0.539,0.0198,0.1375,0.0273,0.1846,0.0527,0.8469
x-7b2400-s1,?,?,0.1967,0.0532,0.631,0.0297,0.1102,0.0289,0.2029,0.0767,0.8212
medmix-7b-old,?,?,0.1971,0.0450,0.691,0.0275,0.1704,0.0400,0.2216,0.0656,0.7340
qwen25vl7b-lora-q38-hires,?,?,0.1976,0.0375,0.462,0.0253,0.0643,0.0667,0.2407,0.0608,0.8159
medreal-dots-mocr,?,?,0.1985,0.1726,0.618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qwen25vl7b,7B,Apache-2.0,0.1994,0.0513,0.538,0.0260,0.1026,0.0762,0.2653,0.0707,0.7321
x-7b-rank64,?,?,0.1994,0.0468,0.616,0.0329,0.1218,0.0313,0.2078,0.0704,0.8208
x-7b2400-s0,?,?,0.1998,0.0541,0.636,0.0285,0.1461,0.0314,0.2217,0.0545,0.8024
x-7b4400-s0,?,?,0.2021,0.0579,0.650,0.0319,0.1395,0.0298,0.2245,0.0732,0.7986
olmocr-2,8B,Apache-2.0,0.2076,0.0796,0.477,0.0665,0.1026,0.1121,0.1957,0.0814,0.7671
x-7b800-s1,?,?,0.2089,0.0481,0.609,0.0254,0.1384,0.0345,0.2642,0.0510,0.8281
qwen25vl7b-reppen,?,?,0.2105,0.0513,0.515,0.0297,0.1004,0.0763,0.2816,0.0707,0.7870
qwen25vl7b-base-m,?,?,0.2112,0.0720,0.749,0.0373,0.1347,0.0351,0.3050,0.0808,0.7513
dots-mocr,3B,MIT,0.2126,0.0747,0.666,0.0851,0.1260,0.0846,0.2408,0.0575,0.7594
x-7b4400-s1,?,?,0.2127,0.0581,0.631,0.0322,0.1472,0.0318,0.2302,0.0687,0.8584
xbase7b-norep,?,?,0.2137,0.0554,0.513,0.0335,0.1148,0.0764,0.2780,0.0773,0.7836
dots-mocr-c4,?,?,0.2161,0.0746,0.532,0.0844,0.1163,0.0865,0.2456,0.0575,0.7879
x7b800-norep,?,?,0.2163,0.0449,0.601,0.0262,0.1979,0.0333,0.2793,0.0471,0.7969
x-7b800-s2,?,?,0.2185,0.0477,0.585,0.0246,0.2013,0.0317,0.2553,0.0518,0.8343
y-ep3-800,?,?,0.2195,0.0507,0.601,0.0284,0.1413,0.0338,0.2413,0.0594,0.9116
dots-mocr-c1,?,?,0.2209,0.0754,0.261,0.0845,0.1205,0.0909,0.2437,0.0587,0.8114
x-7b800-s0,?,?,0.2209,0.0433,0.585,0.0229,0.1664,0.0301,0.2137,0.0519,0.9435
dots-mocr-c16,?,?,0.2210,0.0747,0.765,0.0856,0.1241,0.0863,0.2460,0.0575,0.8103
dots-mocr-promptocr,?,?,0.2213,0.0675,0.651,0.0823,0.1194,0.0877,0.2440,0.0450,0.8371
x-7b-filter,?,?,0.2292,0.0483,0.619,0.0280,0.2216,0.0361,0.3129,0.0485,0.8110
medreal-qwen25vl3b-base,?,?,0.2324,0.1961,0.928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qwen25vl7b-lora-q38-m,?,?,0.2345,0.0464,0.608,0.0222,0.1873,0.0320,0.3081,0.0643,0.8862
qwen25vl3b-base-hires,?,?,0.2461,0.0609,0.815,0.0368,0.1659,0.0760,0.2967,0.1229,0.8672
qwen25vl3b-lora-vllm,?,?,0.2474,0.0596,0.710,0.0330,0.0889,0.0767,0.3498,0.1035,0.9303
x-7b-vision,?,?,0.2524,0.0478,0.594,0.0293,0.2648,0.0362,0.3146,0.0737,0.8861
qwen25vl3b-lora-teacher,3B + LoRA (37M),Apache-2.0,0.2536,0.0918,0.109,0.0404,0.2148,0.0652,0.3701,0.0919,0.8201
qwen25vl3b-lora-q38-hires,?,?,0.2542,0.0499,0.690,0.0290,0.0931,0.0775,0.3887,0.0961,0.9387
qwen25vl3b-lora-teacher-hires,?,?,0.2582,0.0616,0.670,0.0355,0.0958,0.0847,0.3447,0.0769,1.0207
dots-ocr,3B,MIT,0.2613,0.0761,0.607,0.0515,0.1653,0.0831,0.3135,0.0611,0.9988
qwen25vl3b-lora-olmocr-m,?,?,0.2639,0.0918,1.009,0.0401,0.1785,0.0655,0.3787,0.0825,0.9335
y-3b-hires800,?,?,0.2705,0.0462,0.805,0.0307,0.1907,0.0341,0.3832,0.0700,1.0216
qwen25vl3b-lora-hires,?,?,0.2720,0.0592,0.651,0.0312,0.0922,0.0814,0.4075,0.1090,1.0168
medreal-olmocr-2,?,?,0.2755,0.2570,0.468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qwen25vl3b-lora,3B + LoRA (37M),Apache-2.0,0.2783,0.1003,0.103,0.0386,0.2149,0.0464,0.3830,0.1640,0.9136
qwen25vl3b-lora-vllm-matched,?,?,0.2844,0.0944,0.899,0.0374,0.2906,0.0444,0.3924,0.1643,0.8593
qwen25vl3b-lora-q38-m,?,?,0.2912,0.0669,0.901,0.0293,0.2358,0.0482,0.3739,0.0938,1.0788
qwen25vl3b-base,3B,Apache-2.0,0.2919,0.0616,0.184,0.0365,0.3248,0.0467,0.4358,0.0804,0.9165
medreal-tesseract,?,?,0.2958,0.2946,1.957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qwen25vl3b-base-m,?,?,0.2969,0.0649,1.062,0.0371,0.3169,0.0475,0.4470,0.0792,0.9465
qwen25vl3b-lora-gt-m,?,?,0.3072,0.0954,0.808,0.0392,0.2312,0.0462,0.4212,0.1714,1.0383
medreal-deepseek-ocr,?,?,0.3767,0.3240,3.258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
medreal-granite-docling,?,?,0.3817,0.3168,4.061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
paddleocr-vl,0.9B,Apache-2.0,0.4298,0.1005,1.696,0.0714,0.5016,0.1635,0.5021,0.1829,1.2784
paddleocr-vl-promptb,?,?,0.4453,0.0949,1.692,0.0656,0.4176,0.1669,0.5877,0.1836,1.3848
tesseract,n/a,Apache-2.0,0.4744,0.4440,1.412,0.0807,0.5334,0.5315,0.6649,0.2373,0.8527
medreal-paddleocr-vl,?,?,0.5879,0.2416,1.438,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
deepseek-ocr,3B MoE,MIT,0.7717,0.3007,0.881,0.1526,0.7653,0.0534,1.8352,0.4471,1.4773
paddleocr-vl-pipeline,0.9B + PP-DocLayoutV2,Apache-2.0,0.8235,0.4455,0.271,0.4527,0.3039,0.4090,0.5211,2.0000,1.3258
chandra-2,5B,OpenRAIL-M (research/personal/<$2M only),0.8641,0.7134,0.401,0.8259,0.8966,0.8389,0.7702,0.6249,1.2888
granite-docling,0.26B,Apache-2.0,0.8665,0.8710,1.115,0.2606,1.4600,0.5026,1.4224,0.5034,1.0809
medreal-chandra-2,?,?,0.9197,0.9256,0.496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
y-3b-fullft-4400,?,?,1.0255,0.7522,0.435,0.3659,1.2953,1.0271,1.4245,0.7258,1.3627
layout-dots-ocr,?,?,1.0642,0.9698,0.354,1.0819,1.1578,1.0583,1.0760,0.7400,1.3056
layout-dots-mocr,?,?,1.0736,0.9771,0.369,1.0743,1.1399,1.1295,1.0904,0.8101,1.2184
y-3b-fullft-800,?,?,1.1169,0.7768,0.425,0.6042,1.2403,0.9867,1.3747,1.0802,1.4653
medreal-dots-ocr,?,?,1.1386,2.0000,0.352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nanonets-ocr2-3b,3B,Apache-2.0,1.8010,2.0000,0.212,1.7859,1.5502,1.8501,1.7439,1.9761,1.9163
medreal-nanonets-ocr2-3b,?,?,1.9672,2.0000,0.201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
