model,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
chandra-2,0.5981,0.9666,0.7456,0.7655,1.6987,0.7597,0.9359,0.7245,0.2719,1.1263,0.4172,0.6936,0.68,0.6904,1.4669,0.6934
deepseek-ocr,0.6434,0.9057,0.7314,0.9077,0.718,0.8759,0.8915,0.5255,0.5782,0.4673,0.6042,0.6887,0.9002,1.048,0.8792,0.9283
dots-mocr-c1,0.1692,0.4421,0.2658,0.2348,0.1202,0.2058,0.1941,0.1068,0.0753,0.2177,0.2339,0.4018,0.1658,0.2806,0.137,0.3435
dots-mocr-c16,0.1694,0.4421,0.2699,0.2286,0.132,0.2001,0.194,0.1079,0.076,0.2177,0.2339,0.3921,0.1658,0.2753,0.137,0.3436
dots-mocr-c4,0.1692,0.442,0.2577,0.2262,0.1304,0.1994,0.1941,0.1067,0.076,0.2177,0.2339,0.3934,0.1658,0.2628,0.1352,0.2525
dots-mocr-promptocr,0.1742,0.4074,0.2441,0.1612,0.1165,0.2233,0.246,0.1514,0.2175,0.2244,0.2306,0.3939,0.1568,0.2891,0.1176,0.2832
dots-mocr,0.1689,0.3961,0.2663,0.2268,0.1201,0.208,0.2009,0.1068,0.076,0.2177,0.2339,0.3634,0.1658,0.2753,0.137,0.2517
dots-ocr,0.2352,0.3948,0.1935,0.2398,0.232,0.3808,0.2409,0.1224,0.2285,0.2418,0.2119,0.3633,0.3527,0.3468,0.2055,0.2997
granite-docling,0.7534,1.0016,0.8969,1.0406,0.884,1.1122,0.8138,1.0014,0.5298,0.4886,0.3067,0.3579,0.9718,1.0036,0.4585,1.0431
nanonets-ocr2-3b,1.5187,1.6878,1.5546,1.5595,1.9979,1.7789,1.9022,1.9382,2.0,2.0,2.0,2.0,2.0,1.8662,2.0,2.0
olmocr-2,0.266,0.296,0.1689,0.219,0.0755,0.2365,0.2033,0.0831,0.1204,0.2653,0.2259,0.2648,0.1694,0.3097,0.3484,0.3039
paddleocr-vl-pipeline,0.3127,0.5215,0.3911,0.4765,0.9665,0.4094,0.5103,0.1476,2.0,1.9,2.0,1.8971,1.9,1.8975,2.0,1.8343
paddleocr-vl-promptb,0.2705,0.6637,0.4346,0.5988,0.1721,0.5022,0.2946,0.4316,0.452,0.5109,0.6426,0.8457,0.1741,0.627,0.4076,0.5052
paddleocr-vl,0.3053,0.5899,0.3222,0.6407,0.2419,0.3545,0.3606,0.4174,0.324,0.5044,0.4355,0.7411,0.2818,0.7278,0.5612,0.5001
qwen25vl3b-base,0.3118,0.4386,0.2839,0.3904,0.185,0.245,0.2396,0.1913,0.2671,0.1403,0.207,0.3989,0.2116,0.4523,0.3166,0.4957
qwen25vl3b-lora-teacher,0.1414,0.3715,0.2532,0.2329,0.2237,0.1905,0.2781,0.2004,0.2778,0.1887,0.2039,0.3028,0.1948,0.2385,0.4673,0.5795
qwen25vl3b-lora,0.1616,0.4109,0.2319,0.2832,0.1292,0.2421,0.2358,0.2357,0.3029,0.4111,0.2207,0.2436,0.3357,0.3143,0.452,0.8629
qwen25vl7b,0.2186,0.3267,0.212,0.1494,0.0668,0.1959,0.2156,0.0832,0.3547,0.1266,0.1438,0.187,0.1683,0.3129,0.3251,0.3719
tesseract,0.4314,0.557,0.5721,0.5017,0.513,0.5073,0.4346,0.4197,0.2867,0.3943,0.3442,0.3709,0.4418,0.4569,0.5035,0.5582
